values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9
2055,0,0,2207,0,0,0,0,0
2040,0,0,0,0,0,0,0,0
2045,2067,2138,2173,0,0,0,0,0
2155,0,2292,2354,0,0,0,0,0
2183,0,0,0,0,0,0,0,0
2151,0,0,0,0,0,0,0,0
2158,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0
2106,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0
2040,0,2323,2334,0,0,0,0,0
2053,0,0,2196,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2167,0,0,0,0,0,0,0,0
2118,0,0,0,0,0,0,0,0
2131,0,0,0,0,0,0,0,0
2090,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0
2061,0,0,0,0,0,0,0,0
2072,0,2160,2218,0,0,0,0,0
2047,0,0,2195,0,0,0,0,0
2104,2128,2137,2156,2167,2234,2244,2385,0
2077,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2148,0,0,0,0,0,0,0,0
2069,0,0,0,0,0,0,0,0
2104,0,0,0,0,0,0,0,0
2056,0,2167,2215,0,0,0,0,0
2001,0,2281,2302,0,0,0,0,0
2069,0,0,0,0,0,0,0,0
2072,0,0,2167,0,0,0,0,0
2049,0,0,0,0,0,0,0,0
2010,2042,2070,2078,0,0,0,0,0
2148,0,0,0,0,0,0,0,0
2086,0,0,0,0,0,0,0,0
2138,0,0,0,0,0,0,0,0
2130,0,2239,2316,0,0,0,0,0
2126,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2089,0,0,0,0,0,0,0,0
2078,0,0,2226,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2046,0,2069,2077,0,0,0,0,0
2059,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2098,0,0,0,0,0,0,0,0
2091,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2267,2307,0,0,0,0,0,0,0
2275,2324,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2214,2258,0,0,0,0,0,0,0
2320,2354,0,2621,0,0,0,0,0
2358,2389,0,2652,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2147,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2219,2254,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2196,2240,0,2455,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2258,2298,0,2530,0,0,0,0,0
2320,2361,0,0,0,0,0,0,0
2347,2380,0,0,0,0,0,0,0
2067,2100,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2335,2376,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2253,2300,0,2527,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2205,2248,0,0,0,0,0,0,0
2305,2350,0,0,0,0,0,0,0
2358,2387,0,2651,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2227,2269,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2219,2262,0,2476,0,0,0,0,0
2325,2371,0,0,0,0,0,0,0
2333,2364,0,0,0,0,0,0,0
2190,2203,2297,2313,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2236,2277,0,2499,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2257,2303,0,0,0,0,0,0,0
